date,NO2
2024-04-28,1.7098278e-05
2024-04-29,1.254702e-05
2024-04-30,7.995761e-06
2024-05-01,1.5583724e-05
2024-05-02,1.4407398e-05
2024-05-03,1.3231072e-05
2024-05-04,1.727702e-05
2024-05-05,1.1548151e-05
2024-05-06,1.556836e-05
2024-05-07,1.24172675e-05
2024-05-08,5.9667536e-06
2024-05-09,7.19469e-06
2024-05-10,8.422627e-06
2024-05-11,1.9184601e-05
2024-05-12,1.8041088e-05
2024-05-13,1.6897578e-05
2024-05-14,1.5754067e-05
2024-05-15,9.671305e-06
2024-05-16,2.1077725e-05
2024-05-17,1.5510075e-05
2024-05-18,7.55322e-06
2024-05-19,1.0303293e-05
2024-05-20,9.9884155e-06
2024-05-21,1.0036478e-05
2024-05-22,1.5336085e-05
2024-05-23,9.3655e-06
2024-05-24,1.0647285e-05
2024-05-25,8.894695e-06
2024-05-26,7.588428e-06
2024-05-27,3.1430766e-06
2024-05-28,-4.8394895e-07
2024-05-29,2.7140732e-06
2024-05-30,9.1334605e-06
2024-05-31,9.837287e-06
2024-06-01,1.7468494e-05
2024-06-02,5.2272258e-06
2024-06-03,8.544576e-06
2024-06-04,6.0965294e-06
2024-06-05,1.5835627e-05
2024-06-06,1.0351347e-05
2024-06-07,7.719319e-06
2024-06-08,5.087292e-06
2024-06-09,7.480249e-06
2024-06-10,9.873207e-06
2024-06-11,1.18576245e-05
2024-06-12,1.3842042e-05
2024-06-13,1.10468445e-05
2024-06-14,9.771495e-06
2024-06-15,8.496145e-06
2024-06-16,7.220796e-06
2024-06-17,1.2131859e-05
2024-06-18,1.7042923e-05
2024-06-19,1.8734012e-05
2024-06-20,1.7519676e-06
2024-06-21,1.0041127e-05
2024-06-22,1.2457108e-05
2024-06-23,1.3010604e-05
2024-06-24,1.35641e-05
2024-06-25,1.4117597e-05
2024-06-26,6.485042e-06
2024-06-27,-1.1475129e-06
2024-06-28,5.8633427e-06
2024-06-29,1.8623323e-05
2024-06-30,2.5065905e-05
2024-07-01,3.8194536e-05
2024-07-02,3.1899304e-05
2024-07-03,2.5604073e-05
2024-07-04,1.9308842e-05
2024-07-05,1.3013611e-05
2024-07-06,1.1152417e-05
2024-07-07,1.4814167e-05
2024-07-08,5.9192685e-06
2024-07-09,1.5574693e-05
2024-07-10,1.3686726e-05
2024-07-11,1.1798759e-05
2024-07-12,2.0743091e-05
2024-07-13,1.3603451e-05
2024-07-14,2.563868e-05
2024-07-15,2.3646424e-05
2024-07-16,1.2096809e-05
2024-07-17,3.394164e-05
2024-07-18,2.7309827e-05
2024-07-19,2.067801e-05
2024-07-20,1.2940105e-05
2024-07-21,3.066358e-06
2024-07-22,2.9714636e-06
2024-07-23,1.362816e-05
2024-07-24,1.9418758e-05
2024-07-25,1.1093878e-05
2024-07-26,1.21868125e-05
2024-07-27,1.1994012e-05
2024-07-28,1.34901775e-05
2024-07-29,3.6700476e-06
2024-07-30,1.6946842e-05
2024-07-31,1.426461e-05
2024-08-01,1.1988518e-05
2024-08-02,9.7124275e-06
2024-08-03,5.8255946e-06
2024-08-04,2.121244e-05
2024-08-05,9.861853e-06
2024-08-06,1.1828349e-05
2024-08-07,1.3732102e-05
2024-08-08,1.9434938e-05
2024-08-09,1.6416461e-05
2024-08-10,1.6742153e-05
2024-08-11,1.7950904e-05
2024-08-13,1.4034168e-05
2024-08-14,1.7425824e-05
2024-08-15,2.3129469e-05
2024-08-16,2.0522422e-05
2024-08-17,1.0708302e-05
2024-08-18,1.7051105e-05
2024-08-19,1.2228781e-05
2024-08-20,1.795588e-05
2024-08-21,1.3494329e-05
2024-08-22,1.365963e-05
2024-08-23,1.7034907e-05
2024-08-24,1.30255385e-05
2024-08-25,1.306171e-05
2024-08-26,2.031519e-05
2024-08-27,1.7739949e-05
2024-08-28,2.0175485e-05
2024-08-29,2.2611022e-05
2024-08-30,9.605857e-06
2024-08-31,2.1523854e-05
2024-09-01,1.5708943e-05
2024-09-02,1.0500806e-05
2024-09-03,2.0491493e-06
2024-09-04,2.5474674e-06
2024-09-05,2.6292846e-05
2024-09-06,2.0440553e-05
2024-09-07,2.2952521e-05
2024-09-08,6.5734375e-06
2024-09-09,9.045854e-06
2024-09-10,1.5648056e-05
2024-09-11,1.7471051e-05
2024-09-12,2.6408215e-05
2024-09-13,1.6850467e-05
2024-09-14,1.1484293e-05
2024-09-15,1.3252514e-05
2024-09-16,1.9856207e-05
2024-09-17,3.0918673e-05
2024-09-18,2.4839366e-05
2024-09-19,1.4915442e-05
2024-09-20,9.154804e-06
2024-09-21,1.4041534e-05
2024-09-22,8.670522e-06
2024-09-23,1.1193315e-05
2024-09-24,1.3716108e-05
2024-09-25,1.6086085e-05
2024-09-26,1.8456063e-05
2024-09-27,1.152165e-05
2024-09-28,1.9512889e-05
2024-09-29,9.783565e-06
2024-09-30,7.966578e-06
2024-10-01,9.912743e-06
2024-10-02,2.0075295e-05
2024-10-03,1.6908394e-05
2024-10-04,2.2188753e-05
2024-10-05,1.3427643e-05
2024-10-06,8.383042e-06
2024-10-07,1.6221275e-05
2024-10-08,1.4916922e-05
2024-10-09,2.0191166e-05
2024-10-10,1.0866383e-05
2024-10-11,-6.8526754e-07
2024-10-12,1.8498837e-05
2024-10-13,1.9770408e-05
2024-10-14,1.4028477e-05
2024-10-15,2.2506969e-05
2024-10-16,5.163015e-06
2024-10-17,1.7080287e-05
2024-10-18,1.0494416e-05
2024-10-19,1.6939382e-05
2024-10-20,8.920595e-06
2024-10-21,1.2897855e-05
2024-10-22,1.6875116e-05
2024-10-23,2.0852376e-05
